Team,Team win/loss pct,Team Scoring,Team Points Allowed,SOS,Prior  Final AP Ranking,Off Eff,Def Eff,Net YPP,Explosiveness,Def 10+ YPP,Turnover Margin,Off Returning %,Def Returning %,TOP pct
Air Force,0.75,27.7,13.3,-8.27,0,0.11,0.21,1,1.11574,0.071,-0.5,0.7,0.59,0.5761
Akron,0.167,21.8,33.5,-5.38,0,-0.7,-0.85,-1.08,1.23045,0.171,0.8,0.53,0.81,0.5098
Alabama,0.833,40.8,18,3.74,6,1.25,1,1.95,1.38898,0.128,0.5,0.61,0.7,0.4816
Appalachian State,0.5,34.9,26.8,-3.23,0,0.55,-0.39,0.48,1.29786,0.13,0.2,0.63,0.56,0.5
Arizona,0.417,30.8,36.5,3.72,0,0.59,-0.95,-0.1,1.39776,0.193,-0.6,0.76,0.67,0.4842
Arizona State,0.25,26.1,31.4,2.84,0,0.28,-0.76,-0.74,1.29185,0.158,0.3,0.77,0.71,0.4959
Arkansas,0.5,30.7,28.8,5.04,0,0.85,0.06,-0.37,1.30514,0.214,0.3,0.65,0.6,0.4728
Arkansas State,0.25,25,31.4,-2.13,0,-0.54,-1.09,-1.59,1.35401,0.232,0.5,0.52,0.7,0.496
Army,0.455,29.4,23,-4.53,0,0.08,-0.63,-0.53,1.1769,0.176,-0.8,0.53,0.69,0.5478
Auburn,0.417,24.8,29.5,7.08,0,0.06,0.47,-0.4,1.42923,0.124,0.3,0.65,0.65,0.5182
BYU,0.583,31.9,30,-0.06,0,0.87,-0.67,0.85,1.38128,0.113,0.1,0.8,0.97,0.4583
Ball State,0.417,23.3,26.9,-5.57,0,-0.9,-0.42,-0.03,1.13465,0.074,0,0.46,0.37,0.4466
Baylor,0.5,33.6,26.6,6.44,0,0.76,0.15,0.06,1.26238,0.129,0.2,0.65,0.51,0.576
Boise State,0.692,29.1,18.5,-5.2,0,0.19,0.27,1.21,1.22397,0.116,0.7,0.65,0.81,0.4838
Boston College,0.25,17.8,30.3,3.68,0,-0.76,-0.19,-1.15,1.38515,0.151,0,0.53,0.67,0.467
Bowling Green,0.5,23.8,33.3,-4.36,0,-0.71,-0.47,-0.96,1.32705,0.156,0.9,0.95,0.88,0.5069
Buffalo,0.5,29,27.2,-7.63,0,-0.43,-0.14,-1.26,1.18873,0.191,-0.3,0.51,0.63,0.5248
California,0.333,23.9,27.8,3,0,-0.23,-0.03,-0.23,1.40616,0.123,0.2,0.37,0.72,0.4827
Central Michigan,0.333,24.8,28.2,-5.08,0,-0.73,-0.51,-0.43,1.35801,0.146,0.2,0.73,0.58,0.4582
Charlotte,0.25,24.4,39.4,-5.77,0,-0.37,-1.75,-1.51,1.28177,0.236,-1.1,0.89,0.63,0.491
Cincinnati,0.75,31.1,20.3,-1.72,0,-0.16,0.42,0.65,1.32943,0.078,-1.5,0.68,0.51,0.4658
Clemson,0.846,34.7,20.1,2.37,10,0.31,0.72,0.7,1.20073,0.083,0.1,0.84,0.61,0.5342
Colorado,0.083,15.4,44.5,8.37,0,-1.13,-0.79,-3.1,1.19175,0.267,-0.1,0.78,0.47,0.5377
Colorado State,0.25,13.2,26.9,-4.48,0,-1.28,-0.31,-0.55,1.43444,0.101,-0.8,0.55,0.72,0.4699
Connecticut,0.5,19.8,26.1,-3.37,0,-0.74,-0.52,-0.92,1.27096,0.137,0.7,0.74,0.76,0.4662
Duke,0.667,33.1,22.8,-2.36,0,0.63,-0.14,0.55,1.29543,0.094,-0.1,0.44,0.52,0.4832
East Carolina,0.583,30.8,27,-0.25,0,0.59,-0.33,0.24,1.34845,0.167,-0.5,0.69,0.74,0.5511
Eastern Michigan,0.667,28.8,28.6,-9.21,0,-0.26,-0.91,-0.26,1.1492,0.148,-1.1,0.66,0.65,0.5423
Florida,0.5,31.8,28.8,6.76,0,0.94,0.06,0.34,1.52001,0.13,0.6,0.72,0.58,0.5088
Florida Atlantic,0.417,29.8,26.6,-5.71,0,-0.18,-0.39,-0.65,1.30857,0.134,-0.2,0.82,0.51,0.548
Florida International,0.333,18.7,37.3,-7.36,0,-1.32,-1.26,-1.36,1.28804,0.177,0.2,0.63,0.65,0.489
Florida State,0.75,36.2,19.7,3.23,14,1.39,0.4,2.21,1.37638,0.101,-0.1,0.74,0.9,0.4525
Fresno State,0.692,30.7,20.5,-4.25,0,0.25,-0.08,0.58,1.1254,0.1,-0.1,0.83,0.73,0.5193
Georgia,1,39.2,12.8,4.64,1,1.6,1.51,2.59,1.18585,0.076,0.5,0.73,0.44,0.4999
Georgia Southern,0.5,33.7,32.3,-2.33,0,0.45,-1.09,-0.54,1.23376,0.191,0.2,0.92,0.78,0.4857
Georgia State,0.333,30,31.2,-1.42,0,-0.28,-0.16,-0.15,1.3783,0.17,-0.2,0.72,0.8,0.5228
Georgia Tech,0.417,17.2,28.4,4.66,0,-0.7,0.27,-0.89,1.27507,0.117,-0.8,0.58,0.54,0.4657
Hawaii,0.231,19.8,34.7,-4.61,0,-0.72,-1.27,-1.77,1.16525,0.198,-1.9,0.33,0.33,0.4744
Houston,0.583,37.2,33.5,1.32,0,0.69,-0.44,0.39,1.32308,0.172,1.6,0.72,0.76,0.4717
Illinois,0.667,25.4,12.3,0.26,0,0.02,1.14,0.61,1.10298,0.048,0.5,0.51,0.51,0.5381
Indiana,0.333,23.3,33.9,4.99,0,-0.38,0.12,-1.36,1.20527,0.164,0.5,0.71,0.64,0.4555
